,i_sensor_1,i_sensor_2,i_sensor_3,o_left,o_right,i_sensor_4,i_sensor_5
0,222,62,69,False,False,57.0,69.0
0,259,59,60,True,False,57.0,68.0
0,600,55,61,True,False,57.0,65.0
0,600,54,61,False,False,56.0,65.0
0,600,54,61,False,False,54.0,65.0
0,600,54,61,False,False,52.0,64.0
0,600,54,61,False,False,50.0,63.0
0,600,54,61,False,False,49.0,63.0
0,600,54,61,False,False,48.0,63.0
0,600,53,61,False,False,48.0,63.0
0,600,53,61,False,False,48.0,63.0
0,600,52,61,False,False,48.0,63.0
0,600,52,61,False,False,48.0,63.0
0,600,52,61,False,False,47.0,63.0
0,600,52,58,False,False,47.0,63.0
0,600,52,58,False,False,46.0,63.0
0,600,54,58,False,False,46.0,62.0
0,600,54,58,False,False,46.0,62.0
0,600,55,58,False,False,46.0,62.0
0,600,55,58,False,False,46.0,61.0
0,600,57,58,False,False,47.0,61.0
0,600,57,57,False,False,48.0,61.0
0,600,59,57,False,False,48.0,61.0
0,600,59,57,False,False,49.0,61.0
0,600,60,55,False,False,49.0,61.0
0,600,61,55,False,False,50.0,61.0
0,600,61,55,False,False,50.0,60.0
0,600,58,57,True,False,57.0,58.0
0,600,60,55,False,False,57.0,57.0
0,600,61,56,False,False,57.0,58.0
0,600,62,55,False,False,57.0,57.0
0,600,62,53,False,False,57.0,58.0
0,600,63,52,False,False,57.0,57.0
0,600,64,52,False,False,57.0,58.0
0,600,65,52,False,False,57.0,57.0
0,296,66,49,False,False,57.0,57.0
0,290,66,47,False,False,57.0,55.0
0,284,67,45,False,False,57.0,47.0
0,278,69,45,False,False,57.0,46.0
0,272,70,44,False,False,57.0,47.0
0,259,67,41,True,False,63.0,46.0
0,253,67,40,False,False,63.0,46.0
0,247,66,40,False,False,64.0,40.0
0,240,66,39,False,False,64.0,39.0
0,234,68,39,False,False,64.0,39.0
0,228,68,39,False,False,64.0,39.0
0,222,70,39,False,False,64.0,34.0
0,217,70,39,False,False,64.0,34.0
0,211,71,41,False,False,64.0,34.0
0,205,74,42,False,False,64.0,34.0
0,198,74,44,False,False,69.0,40.0
0,192,75,45,False,False,69.0,40.0
0,186,76,47,False,False,69.0,40.0
0,180,76,50,False,False,69.0,40.0
0,174,79,53,False,False,69.0,40.0
0,168,80,99,False,False,69.0,46.0
0,162,79,98,False,False,69.0,53.0
0,156,77,64,False,False,69.0,54.0
0,150,77,72,False,False,69.0,56.0
0,144,77,200,False,False,75.0,57.0
0,138,76,200,False,False,75.0,57.0
0,133,75,200,False,False,75.0,57.0
0,127,75,200,False,False,75.0,57.0
0,125,77,200,False,True,69.0,57.0
0,123,81,200,False,True,70.0,67.0
0,122,85,200,False,True,70.0,67.0
0,117,87,200,False,True,73.0,67.0
0,114,87,200,False,True,76.0,68.0
0,118,87,200,False,True,79.0,67.0
0,108,86,200,False,True,83.0,67.0
0,101,84,200,False,False,83.0,68.0
0,96,81,200,False,False,82.0,76.0
